,age,total,m,f
0,0세,2730,1373,1357
1,1세,3265,1637,1628
2,2세,3641,1814,1827
3,3세,3761,1911,1850
4,4세,4265,2163,2102
5,5세,4565,2304,2261
6,6세,5062,2577,2485
7,7세,5559,2827,2732
8,8세,5794,2988,2806
9,9세,5519,2844,2675
10,10세,5711,2885,2826
11,11세,5835,2983,2852
12,12세,5755,2963,2792
13,13세,5359,2736,2623
14,14세,5244,2652,2592
15,15세,5321,2574,2747
16,16세,4922,2426,2496
17,17세,4484,2268,2216
18,18세,3938,1964,1974
19,19세,3827,1917,1910
20,20세,3543,1823,1720
21,21세,3368,1791,1577
22,22세,3539,1886,1653
23,23세,3661,1914,1747
24,24세,3496,1775,1721
25,25세,3507,1799,1708
26,26세,3655,1796,1859
27,27세,3980,1969,2011
28,28세,4289,2137,2152
29,29세,4738,2368,2370
30,30세,5049,2520,2529
31,31세,5488,2683,2805
32,32세,5513,2612,2901
33,33세,5633,2783,2850
34,34세,5727,2865,2862
35,35세,5984,2931,3053
36,36세,6269,3080,3189
37,37세,6391,3149,3242
38,38세,6642,3320,3322
39,39세,7001,3440,3561
40,40세,7748,3669,4079
41,41세,8784,4251,4533
42,42세,8537,4202,4335
43,43세,8626,4269,4357
44,44세,8153,4003,4150
45,45세,7336,3636,3700
46,46세,7241,3628,3613
47,47세,6722,3383,3339
48,48세,6971,3596,3375
49,49세,7259,3767,3492
50,50세,6706,3487,3219
51,51세,6339,3455,2884
52,52세,6462,3398,3064
53,53세,5749,3079,2670
54,54세,5700,2965,2735
55,55세,5329,2776,2553
56,56세,4597,2338,2259
57,57세,4221,2191,2030
58,58세,4424,2262,2162
59,59세,3944,2046,1898
60,60세,4229,2193,2036
61,61세,4029,2017,2012
62,62세,4762,2419,2343
63,63세,4288,2100,2188
64,64세,3883,1930,1953
65,65세,3444,1685,1759
66,66세,3460,1690,1770
67,67세,3191,1608,1583
68,68세,3210,1579,1631
69,69세,2566,1230,1336
70,70세,2145,1062,1083
71,71세,2345,1127,1218
72,72세,1653,789,864
73,73세,1853,911,942
74,74세,1834,870,964
75,75세,1584,761,823
76,76세,1522,703,819
77,77세,1082,496,586
78,78세,1125,496,629
79,79세,1140,484,656
80,80세,1141,485,656
81,81세,1253,525,728
82,82세,1027,390,637
83,83세,861,309,552
84,84세,848,293,555
85,85세,737,252,485
86,86세,656,218,438
87,87세,624,182,442
88,88세,570,156,414
89,89세,469,134,335
90,90세,378,84,294
91,91세,290,58,232
92,92세,217,52,165
93,93세,176,30,146
94,94세,152,26,126
95,95세,115,21,94
96,96세,70,12,58
97,97세,35,9,26
98,98세,29,5,24
99,99세,15,1,14
100,100세,23,1,22
101,101세,9,2,7
102,102세,3,2,1
103,103세,3,0,3
104,104세,2,0,2
105,105세,1,1,0
106,106세,3,0,3
107,107세,1,0,1
108,108세,0,0,0
109,109세,0,0,0
110,110세 이상,1,0,1
