,regions,total,male,female
0,조치원읍,41584,21670,19914
1,연기면,2531,1450,1081
2,연동면,2861,1489,1372
3,부강면,5694,3144,2550
4,금남면,8473,4533,3940
5,장군면,6730,3954,2776
6,연서면,6993,3847,3146
7,전의면,5357,2844,2513
8,전동면,3187,1708,1479
9,소정면,2154,1153,1001
10,한솔동,18358,9064,9294
11,새롬동,26653,12872,13781
12,나성동,13332,6541,6791
13,도담동,25450,12141,13309
14,어진동,11200,5515,5685
15,해밀동,8959,4352,4607
16,아름동,23649,11694,11955
17,종촌동,28435,13843,14592
18,고운동,35312,17293,18019
19,소담동,21936,10668,11268
20,반곡동,28153,13822,14331
21,보람동,19041,9345,9696
22,대평동,11308,5585,5723
23,다정동,28582,13719,14863
