id,age,1m,2m,3m,4m,5m,6m,7m,8m
0,~5,309,347,486,540,431,318,373,294
1,5~9,376,362,480,608,537,453,557,390
2,10~14,307,268,299,389,381,335,347,246
3,15~19,156,138,177,216,222,184,184,137
4,20~24,151,146,148,178,164,159,152,105
5,25~29,188,170,185,205,209,189,192,142
6,30~34,302,276,321,350,345,308,323,230
7,35~39,395,375,433,437,467,415,431,317
8,40~44,574,520,589,605,624,592,586,457
9,45~49,617,602,647,641,661,660,631,477
10,50~54,690,652,716,688,713,708,721,547
11,55~59,666,618,703,662,698,689,683,515
12,60~64,926,868,923,903,962,906,920,658
13,65~69,901,867,978,929,993,980,931,646
14,70~74,748,704,790,751,801,795,775,520
15,75~79,596,548,613,585,587,590,591,377
16,80~,895,798,915,895,887,911,859,576
